0,|ADJ⟪NOUN|,|الولايات المتحدة|
0,|NOUN⟪NOUN|,|كل شيء|
0,|PRON⟪NOUN|,|شقيقت ه|
0,|PROPN⟪PROPN|,|لونغ بيتش|
0,|PROPN⟪NOUN|,|ولاية كاليفورنيا|
0,|NOUN⟫NUM|,|عشرين سنة|
0,|NOUN⟫DET|,|هذا الحادث|
0,|ADJ⟪NOUN⟪NOUN|,|كل الولايات الاميركية|
0,|NOUN⟪NOUN⟪NOUN|,|قائد سلاح المدفعية|
0,|ADJ⟪ADJ⟪NOUN|,|التلفزيون الروسية الخاصة|
0,|NOUN⟪ADV|,|بعد عناء طويل|
0,|NOUN⟫ADP|,|في حياة المتشرد ستيفن كنت|
0,|NOUN⟫CCONJ|,|و حذاء|
0,|PRON⟫ADP|,|علي ه|
0,|PROPN⟫ADP|,|في لونغ بيتش|
0,|NOUN⟫SCONJ|,|لا بد|
0,|PROPN⟫CCONJ|,|و غودرميس|
0,|PRON⟫SCONJ|,|ان ه|
0,|NOUN⟫ADP⟪NOUN|,|مدينة لونغ بيتش في ولاية كاليفورنيا|
0,|NOUN⟫ADP⟪NOUN⟫ADP|,|ل لحصول على الميراث الموعود|
0,|NOUN⟫CCONJ⟪NOUN|,|سروالا ازرق و حذاء|
0,|NOUN⟪ADJ|,|نحيلا جدا|
0,|ADV⟪NOUN|,|المرة الثانية خلال يومين|
0,|NOUN⟪VERB|,|تغير في حياة المتشرد ستيفن كنت|
0,|VERB⟫CCONJ|,|و غادر|
0,|PRON⟪VERB|,|عثرت علي ه|
0,|VERB⟫SCONJ|,|ما عثرت|
0,|VERB⟫ADV|,|طوال عشرين عاما اعتاش|
0,|VERB⟫AUX|,|كان يبيت|
0,|PROPN⟪VERB|,|بدا ستيفن كنت|
0,|NOUN⟪VERB⟫CCONJ|,|و حلق ذقن ه|
0,|NOUN⟪NOUN⟪VERB|,|دفع سائق الباص الى منع ه من الصعود|
0,|NOUN⟪PRON⟪VERB|,|يبدا ب ها حيات ه الجديدة|
0,|VERB⟪PRON|,|التي تجوب كل الولايات الاميركية|
0,|VERB⟫NOUN|,|كل شيء تغير في حياة المتشرد ستيفن كنت|
0,|VERB⟪NOUN|,|الى حد دفع سائق الباص الى منع ه من الصعود|
0,|ADV⟪VERB|,|ما عثرت علي ه شقيقت ه بعد عناء طويل|
0,|NOUN⟫"|,|" اللصوص|
0,|"⟪NOUN|,|رائحت ه نتنة الى حد دفع سائق الباص الى منع ه من الصعود "|
0,|،⟪NOUN|,|ان الوضع هادىء اليوم السبت في الشيشان ،|
0,|،⟪VERB|,|كان يوجد ،|
0,|PROPN⟫"|,|" ان تي في|
0,|"⟪NOUN⟫"|,|" اللصوص "|
1,|NUM⟪NOUN|,|جنديين روسيين اثنين|
1,|NOUN⟪PROPN|,|كلم جنوب لوس انجليس|
1,|PRON⟪ADV|,|بين هم|
1,|PROPN⟪ADV|,|مع كويرتن|
1,|NUM⟪PROPN|,|موسكو 15-7|
1,|NUM⟪NUM|,|300 الف|
1,|ADJ⟪PROPN|,|كيلي البالغة من العمر 47 عاما|
1,|NOUN⟫NOUN|,|خصوصا الافراط في شرب الكحول و السكر|
1,|NOUN⟫PRON|,|هي التسمية التي يطلق ها الروس في اشارة الى المقاتلين الشيشان|
1,|NOUN⟪PRON|,|ها مفاجأة|
1,|NOUN⟫NUM⟪NUM|,|300 الف دولار|
1,|PROPN⟪ADV⟪NOUN|,|المندوب الايراني لدى اوبك|
1,|ADJ⟪ADV|,|غير خطيرة|
1,|ADV⟫ADP|,|في حين ه|
