"لِكُلِّ إِنْسانٍ الحَقُّ في الوُجودِ والحُرِّيَّةِ والأمْنِ، والحَقُّ في حُرِّيَّةِ الرَّأْيِ والتَّعْبيرِ بِدونِ تَمْيِيزٍ بِسَبَبِ العُنْصُرِ أَوِ اللَّوْنِ أَوِ الجِنْسِ أَوِ الثَّقافَةِ أَوِ الدِّينِ أَوِ الرَّأْيِ","PRT+NOM NOM NOM PRT NOM PRT+NOM PRT+NOM PNX PRT+NOM PRT NOM NOM PRT+NOM PRT+NOM NOM PRT+NOM NOM PRT NOM PRT NOM PRT NOM PRT NOM PRT NOM"
"طَائِرٌ مِنْ فَصيلَةِالوَزِّيَّاتِ، مِنْ رُتْبةِ الكَفِّيَّاتِ، لَهُ مِنْقارٌ عَريضٌ مُلَوَّنٌ، قَصيرُ العُنُقِ والرِّجْلَيْنِ، طَويلُ الأجْنِحَةِ، يَخْتَلِفُ عَنِ الإِوَزِّ، وَإِنْ كانَ يُشْبِهُهُ وَهُوَ طائِرٌ مائِيٌّ لَهُ قُدْرَةٌ على الطَّيَران","NOM PRT PROP PNX PRT NOM PROP PNX PRT+NOM NOM NOM NOM PNX NOM NOM PRT+NOM PNX NOM NOM PNX VRB PRT NOM PNX PRT+PRT VRB VRB+NOM PRT+NOM NOM NOM+NOM PRT+NOM NOM PRT NOM"
"يَبْلُغُ عَدَدُ حُروفِ هِجاءِ اللُّغَةِ العَرَبِيَّةِ ثَمانِيَةً وَعِشْرينَ حَرْفاً هي: ا ب ت ث ج ح خ د ذ ر ز س ش ص ض ط ظ ع غ ف ق ك ل م ن هـ و ي. وَهُوَ ما يُسَمَّى بِحُروفِ الْمَبانِ","VRB NOM NOM NOM NOM NOM NOM PRT+NOM NOM NOM PNX NOM NOM NOM NOM NOM NOM NOM NOM NOM NOM NOM NOM NOM NOM NOM NOM NOM NOM NOM NOM NOM NOM PRT NOM NOM NOM PRT NOM PNX PRT+NOM NOM VRB-PASS PRT+NOM PROP"
"اِنْقَشَعَ السّحابُ» لا مَحَلَّ لها مِنَ الإِعْرابِ لأَنَّها جُمْلَةٌ اِبْتِدائِيَّةٌ، والجُمَلُ التي لها مَحَلٌّ مِنَ الإِعْرابِ، هي التي تَحَلُّ مَحَلَّ مُفْرَدٍ، أي ما لَيْس جُمْلَةً ولا شِبْهَ جُمْلَة","VRB PROP PNX PRT NOM PRT+NOM PRT NOM PRT+PRT+NOM NOM NOM+NOM PNX PRT+NOM NOM PRT+NOM NOM PRT NOM PNX NOM NOM VRB NOM NOM PNX NOM NOM VRB NOM PRT+PRT NOM NOM"
"جَمَاعَةٌ مِنَ النَّاسِ تَجْمَعُهُمْ رَوَابِطُ تَارِيخِيَّةٌ مُشْتَرَكَةٌ، قَدْ يَكُونُ فِيهَا مَا هُوَ لُغَوِيٌّ أوْ دِينِيٌّ أوِ اقْتِصَادِيٌّ وَلَهُمْ أهْدَافٌ مُشْتَرَكَةٌ فِي العَقِيدَةِ أَوِ السِّيَاسَةِ أَوِ الاقْتِصَاد","NOM PRT NOM VRB+NOM NOM NOM NOM PNX PRT VRB PRT+NOM NOM NOM NOM PRT NOM PRT NOM PRT+PRT+NOM NOM NOM PRT NOM PRT NOM PRT NOM"
"لِكُلِّ إنْسَانٍ حَقُّ التَّمَتُّعِ بِكَافَّةِ الحُقُوقِ وَالحُرِّيَّاتِ دُونَ أيِّ تَمْيِيزٍ، كَالتَّمْيِيزِ بَيْنَ العُنْصُرِ أَوِ اللوْنِ أو الجِنْسِ أَوِ الدِّينِ أوِ الرَّأيِ السِّيَاسِيِّ أَوْ أَيِّ رَأيٍ آخَرَ","PRT+NOM NOM NOM NOM PRT+NOM+NOM NOM PRT+NOM NOM NOM NOM PNX PRT+NOM NOM NOM PRT NOM PRT NOM PRT NOM PRT NOM NOM PRT NOM NOM NOM"
"حَيَوَانٌ مِنْ فَصِيلَةِ الكَلْبِيَّاتِ مِنْ رُتْبَةِ الضَّوَارِي، لَهُ خَطْمٌ قَصِيرٌ وَذَنَبٌ طَوِيلٌ، يَتَسَاقَطُ شَعْرُهُ مَرَّةً فِي كُلِّ سَنَةٍ، يُعْرَفُ فِي الحِكَايَاتِ وَالقِصَصِ بِخِدَاعِهِ وتَحَايُلِه","NOM PRT NOM+NOM PROP PRT NOM NOM PNX PRT+NOM NOM NOM PRT+NOM NOM PNX VRB NOM+NOM NOM PRT NOM NOM PNX VRB PRT NOM PRT+NOM PRT+NOM+NOM PRT+NOM+NOM"
"مَرَضٌ عَصَبِيٌّ». وَمِنْهَا مَا هُوَ اجْتِمَاعِيٌّ، أَيْ مَا يُخْرِجُ الكَائِنَ الْحَيَّ عَنْ حَدِّ الاعْتِدَالِ مِنْ نِفَاقٍ أَوْ تَقْصِيرٍ فِي الأَمْرِ . فِي قُلُوبِهِمْ مَرَضٌ فَزَادَهُمُ اللَّهُ مَرَضا","NOM NOM+NOM PNX PNX PRT+PRT+NOM NOM NOM NOM PNX NOM NOM VRB NOM NOM PRT NOM NOM PRT VRB-PASS PRT NOM PRT NOM PNX PRT NOM+NOM NOM PRT+VRB+NOM PROP NOM"
"مَقَامُ النَّغَمِ». هُوَ مَجْمُوعَةٌ سُلَّمِيَّةٌ مِنَ النَّغَمَاتِ الْمُتَتَابِعَةِ تُقَدَّرُ بِسَبْعِ نَغَمَاتٍ، وكُلُّ مَقَامٍ مُوسِيقِيٍّ لَهُ أَبْعَادٌ تَخْتَلِفُ عَنْ بَقِيَّةِ الْمَقَامَاتِ الأُخْرَ","NOM NOM PNX PNX NOM NOM NOM PRT NOM NOM VRB-PASS PRT+NOM NOM PNX PRT+NOM NOM NOM PRT+NOM NOM VRB PRT NOM NOM NOM"
"وأَحْسَنُ مَا تُوصَفُ بِهِ الكَرَامَةُ عَلَى مَذْهَبِهَا أَنَّهَا كِسْوَةٌ اجْتِمَاعِيَّةٌ ولاَ يَخْلَعُهَا الْمَرْءُ فِي الْمَجَالِسِ ولاَ يَلْبَسُهَا مُمَزَّقَةً أَوْ مُرَقَّعَةً أو مَوْصُومَةً","PRT+VRB NOM VRB-PASS PRT+NOM NOM PRT NOM+NOM PRT+NOM VRB+NOM NOM PRT+PRT VRB+NOM NOM PRT NOM PRT+PRT VRB+NOM PROP PRT NOM PRT PROP"
