69220	ADP>case>NOUN	"=
55090	NOUN>nmod:poss>NOUN	المضاف
54777	ADJ>amod>NOUN	الموصوف
45016	NOUN>obj>NOUN	الموصوف
32839	NOUN>obj>VERB	المفعول
32682	PUNCT>punct>VERB	"x
20405	PUNCT>punct>NOUN	"x
19347	CCONJ>cc>NOUN	"=
19117	CCONJ>cc>VERB	"=
18675	NOUN>nsubj>VERB	الفاعل
15884	PROPN>flat>PROPN	المعرف
15767	PRON>nmod:poss>NOUN	"=
13954	VERB>root>#	فعل
13893	NOUN>iobj>VERB	المفعول
12516	PUNCT>punct>PROPN	"x
11584	NOUN>nmod>NOUN	منصوبا
10889	NOUN>nmod:poss>ADV	المجرور
10174	ADV>advmod>VERB	"=
9506	NOUN>nmod>VERB	منصوب
9027	PROPN>nmod>NOUN	فلان
8838	VERB>ccomp>VERB	فعل
8701	PROPN>nmod:poss>NOUN	فلان
8654	PRON>obj>VERB	"=
7975	ADP>case>PROPN	"=
7678	VERB>ccomp>PRON	قال
7643	ADP>case>PRON	"=
7198	NUM>nummod>NOUN	10
7028	PRON>nmod>NOUN	"=
6764	ADV>advmod>NOUN	"=
6722	VERB>ccomp>NOUN	قال
6370	SCONJ>mark>NOUN	"=
5837	SCONJ>mark>VERB	"=
5662	NOUN>obj>ADJ	مجرور
4729	VERB>xcomp>NOUN	يفعل
4528	VERB>xcomp>PRON	يفعل
4522	PROPN>obj>NOUN	فلان
4363	PROPN>nsubj>VERB	فلان
3959	DET>det>NOUN	"=
3779	VERB>xcomp>VERB	يفعل
3512	CCONJ>cc>PROPN	"=
3333	CCONJ>cc>ADJ	"=
3192	AUX>aux>VERB	"=
2978	ADJ>amod>VERB	مفعولا
2856	NOUN>iobj>NOUN	مفعول
2813	PUNCT>punct>NUM	"x
2736	PROPN>obj>PROPN	فلان
2717	PROPN>obj>VERB	فلان
2666	SCONJ>mark>PRON	"=
2599	PUNCT>punct>ADJ	"x
2558	NOUN>root>#	المرفوع
