93,1.0,"كاميرات التلفزيون و عدسات المصورين","المجرور المضاف و الموصوف المضاف","20000715_AFP_ARB.0001:4",9,13
93,1.0,"رئيسي الجمهورية و مجلس الوزراء","المجرور المضاف و الموصوف المضاف","ANN20020115.0041:12",5,9
93,0.0,"متطلبات المختار ك نفقات الاستشفاء","المجرور المضاف ك الموصوف المضاف","ANN20020115.0056:8",38,42
93,1.0,"جرف الثلوج و فتح الطرق","المجرور المضاف و الموصوف المضاف","ANN20020115.0059:3",14,18
93,1.0,"شمعات الاحتراق و نظام العادم","المجرور المضاف و الموصوف المضاف","ANN20020115.0070:13",14,18
93,0.0,"رواتب جميع الموظفين و المدرسين","المجرور المضاف المضاف و الموصوف","ANN20020115.0100:12",16,20
93,1.0,"احتلال الأرض و نهب الثروات","المجرور المضاف و الموصوف المضاف","UMAAH_UM.ARB_20020120-a.0018:2",14,18
92,0.0,"نفقات العمل اليومي ل لحكومة","المجرور المضاف الموصوف ل الموصوف","20000715_AFP_ARB.0029:17",20,24
92,1.0,"وزارة المالية و التنمية الاقتصادية","المجرور المضاف و الموصوف الموصوف","20000715_AFP_ARB.0054:4",39,43
92,1.0,"وزارة المالية و التنمية الاقتصادية","المجرور المضاف و الموصوف الموصوف","20000715_AFP_ARB.0061:4",39,43
92,0.0,"وصول المساعدات الغذائية الى السكان","المجرور المضاف الموصوف الى الموصوف","20000715_AFP_ARB.0062:3",31,35
92,0.0,"توحيد النظام التعليمي ل لدولة","المجرور المضاف الموصوف ل الموصوف","ANN20020115.0015:7",39,43
92,0.0,"لجنة الاشغال العامة و النقل","المجرور المضاف الموصوف و الموصوف","ANN20020115.0019:12",95,99
92,1.0,"تدخل الجماعات و الناشطين الاجانب","المجرور المضاف و الموصوف الموصوف","ANN20020115.0029:21",32,36
92,1.0,"وزارة التربية و التعليم العالي","المجرور المضاف و الموصوف الموصوف","ANN20020115.0032:19",4,8
92,0.0,"وزارة الاشغال العامة و النقل","المجرور المضاف الموصوف و الموصوف","ANN20020115.0032:27",4,8
